dataset,round,client,fedavg_weight,residual_norm,clipped_residual_norm,support_s,alpha,residual_cos_to_rcon,is_valid_residual
DescribableTextures,0,0,0.10638298094272614,0.008843526244163513,0.008843526244163513,0.14123204350471497,0.11153575032949448,0.4889279007911682,1
DescribableTextures,0,1,0.10638298094272614,0.009766227565705776,0.009766227565705776,0.15881408751010895,0.12542088329792023,0.5735817551612854,1
DescribableTextures,0,2,0.10638298094272614,0.013247600756585598,0.011988083831965923,0.07901863753795624,0.06240370497107506,0.10606138408184052,1
DescribableTextures,0,3,0.10638298094272614,0.01628088392317295,0.011988083831965923,0.17390494048595428,0.13733863830566406,0.7228634357452393,1
DescribableTextures,0,4,0.10638298094272614,0.011988083831965923,0.011988083831965923,0.17122000455856323,0.13521826267242432,0.7027292251586914,1
DescribableTextures,0,5,0.10638298094272614,0.012199132703244686,0.011988083831965923,0.07852552086114883,0.062014274299144745,-0.1994389146566391,1
DescribableTextures,0,6,0.10638298094272614,0.009827214293181896,0.009827214293181896,0.08928290754556656,0.07050974667072296,0.12975305318832397,1
DescribableTextures,0,7,0.10638298094272614,0.016474077478051186,0.011988082900643349,0.2154679298400879,0.1701623499393463,0.7770566940307617,1
DescribableTextures,0,8,0.10638298094272614,0.008271794766187668,0.008271794766187668,0.09980127215385437,0.07881645113229752,0.2652873694896698,1
DescribableTextures,0,9,0.042553190141916275,0.004334712866693735,0.004334712866693735,0.1474544107913971,0.04657990112900734,0.2988854646682739,1
DescribableTextures,1,0,0.10638298094272614,0.0039064520969986916,0.0039064520969986916,0.04680114984512329,0.08446387201547623,0.21709682047367096,1
DescribableTextures,1,1,0.10638298094272614,0.0064367433078587055,0.0064367433078587055,0.07903502881526947,0.14263761043548584,0.5185773968696594,1
DescribableTextures,1,2,0.10638298094272614,0.010667666792869568,0.008324959315359592,0.03356447443366051,0.06057512387633324,0.1303846389055252,1
DescribableTextures,1,3,0.10638298094272614,0.01179977785795927,0.008324959315359592,0.05907358229160309,0.10661240667104721,0.3346797823905945,1
DescribableTextures,1,4,0.10638298094272614,0.008324959315359592,0.008324959315359592,0.0906149223446846,0.16353629529476166,0.6567071676254272,1
DescribableTextures,1,5,0.10638298094272614,0.006393509451299906,0.006393509451299906,0.04513903334736824,0.08146418631076813,0.25211021304130554,1
DescribableTextures,1,6,0.10638298094272614,0.014758365228772163,0.008324959315359592,0.029099155217409134,0.0525163859128952,0.04485379904508591,1
DescribableTextures,1,7,0.10638298094272614,0.013126797042787075,0.008324960246682167,0.07621681690216064,0.13755148649215698,0.5441033244132996,1
DescribableTextures,1,8,0.10638298094272614,0.0078099132515490055,0.0078099132515490055,0.07495284825563431,0.13527034223079681,0.49698519706726074,1
DescribableTextures,1,9,0.042553190141916275,0.00774046266451478,0.00774046266451478,0.04899926483631134,0.035372354090213776,0.1547417789697647,1
